                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                       -17.9491493599                        58.6140722590
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                       -17.8025267278                        57.1655236218
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                       -17.3698163187                        52.9002701542
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                       -16.6721371347                        46.0521212326
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                       -15.7418199810                        36.9824762851
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                       -14.6195917004                        26.1469197751
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                       -13.3509557861                        14.0548362051
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                       -11.9825652296                         1.2295403956
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                       -10.5592523893                       -11.8260416096
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                        -9.1218028158                       -24.6560700841
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                        -7.7054506585                       -36.8697981750
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
