                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0014858730
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0056676403
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0117662340
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0186375267
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0249633895
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0294546295
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0310318484
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0289493322
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0228555049
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0127848515
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                         1.3079350338
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                         1.3184290220
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                         1.3483902597
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                         1.3935463683
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                         1.4475850219
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                         1.5031675981
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                         1.5530085318
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                         1.5907906600
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                         1.6118434763
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                         1.6134229187
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                         1.5946363658
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0013938651
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0053056950
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0109726030
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0172717870
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0229081714
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0266149156
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0273314435
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0243244066
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0172474480
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0061356286
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
