                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0139666802
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0535513332
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1122565895
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1806759312
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2482356886
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.3050139157
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3433082215
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3586322025
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.3500909464
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.3201285190
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                      -118.9112434946
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                      -118.5125528670
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                      -117.3193754896
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                      -115.3423594311
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                      -112.6037503224
