                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0133629598
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0512327010
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1073777785
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1727701398
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2372561152
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.2913040165
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3275173124
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3416003874
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.3327317449
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.3033422915
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
