                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000                       -14.1341549963                       -40.1594186651
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000                       -13.4868623949                       -45.6936144577
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000                       -12.6250110786                       -52.9641482723
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000                       -11.5874764397                       -61.5528477968
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6000000000                       -10.4176135661                       -70.9951068083
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7000000000                        -9.1597915785                       -80.8170108194
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8000000000                        -7.8565285324                       -90.5677868603
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9000000000                        -6.5463558741                       -99.8449715884
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        1.0000000000                        -5.2623982346                      -108.3105629948
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                       -17.4918569333                        56.8794136427
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                       -17.3472777320                        55.4598689884
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                       -16.9206994869                        51.2810924733
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                       -16.2331806046                        44.5749971484
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                       -15.3169211328                        35.6997138169
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                       -14.2124709174                        25.1062896132
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                       -12.9650691578                        13.2982075006
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                       -11.6210197868                         0.7916601244
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                       -10.2247304111                       -11.9185550971
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                        -8.8164966911                       -24.3854605320
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                        -7.4310082137                       -36.2275575695
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.0000000000                       -17.9337866555                        57.7462259494
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.1000000000                       -17.7874056686                        56.2992054048
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.2000000000                       -17.3553926995                        52.0382861282
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.3000000000                       -16.6587697674                        45.1965091446
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.4000000000                       -15.7297314361                        36.1341789779
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.5000000000                       -14.6088390805                        25.3056064316
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.6000000000                       -13.3414198520                        13.2189123404
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.7000000000                       -11.9739679624                         0.3963543824
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.8000000000                       -10.5511807641                       -12.6598709309
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.9000000000                        -9.1137461873                       -25.4942367620
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        1.0000000000                        -7.6968423233                       -37.7158725449
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000                         0.0000000000
