                wave       xi      mxi                   q    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX20_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI    2-pion-q_L2_XI2_Q1_NQ11_NX25_NPHI
cdb-empot-tm99l4469p        0        0        0.7000000000                         8.3611097374                         8.3596229126                         8.3592425157                         8.3609737038                         8.3595114918                         8.3591464315
cdb-empot-tm99l4469p        0        0        0.8000000000                         9.2048203924                         9.2033781998                         9.2030099986                         9.2047012850                         9.2032804988                         9.2029256431
cdb-empot-tm99l4469p        0        0        0.9000000000                        10.0157836046                        10.0144008185                        10.0140492447                        10.0156841739                        10.0143191008                        10.0139785769
cdb-empot-tm99l4469p        0        0        1.0000000000                        10.7674495092                        10.7661380121                        10.7658064623                        10.7673708850                        10.7660732184                        10.7657502988
ich-lo-cut=1-no3nf-E        0        0        0.0000000000                       -29.3949951333                       -29.4009247825                       -29.4023578050                       -29.3951409467                       -29.4010477342                       -29.4024683542
ich-lo-cut=1-no3nf-E        0        0        0.1000000000                       -29.2060198501                       -29.2119192098                       -29.2133426404                       -29.2061606885                       -29.2120380143                       -29.2134494914
ich-lo-cut=1-no3nf-E        0        0        0.2000000000                       -28.6468138968                       -28.6526229358                       -28.6540179669                       -28.6469404231                       -28.6527298065                       -28.6541141728
ich-lo-cut=1-no3nf-E        0        0        0.3000000000                       -27.7402932241                       -27.7459538516                       -27.7473028464                       -27.7403979406                       -27.7460425270                       -27.7473828119
ich-lo-cut=1-no3nf-E        0        0        0.4000000000                       -26.5222045374                       -26.5276623826                       -26.5289496769                       -26.5222829076                       -26.5277290583                       -26.5290099890
ich-lo-cut=1-no3nf-E        0        0        0.5000000000                       -25.0376626210                       -25.0428692422                       -25.0440819020                       -25.0377138004                       -25.0429131794                       -25.0441218759
ich-lo-cut=1-no3nf-E        0        0        0.6000000000                       -23.3375359681                       -23.3424511066                       -23.3435795070                       -23.3375628079                       -23.3424746380                       -23.3436011942
ich-lo-cut=1-no3nf-E        0        0        0.7000000000                       -21.4748848640                       -21.4794781865                       -21.4805162729                       -21.4748930590                       -21.4794860115                       -21.4805238365
ich-lo-cut=1-no3nf-E        0        0        0.8000000000                       -19.5017985061                       -19.5060504558                       -19.5069956440                       -19.5017951016                       -19.5060484050                       -19.5069942608
ich-lo-cut=1-no3nf-E        0        0        0.9000000000                       -17.4669002025                       -17.4708018659                       -17.4716546384                       -17.4668919404                       -17.4707955336                       -17.4716492841
ich-lo-cut=1-no3nf-E        0        0        1.0000000000                       -15.4136561179                       -15.4172082631                       -15.4179715820                       -15.4136481313                       -15.4172019279                       -15.4179660742
ich-lo-cut=2-no3nf-E        0        0        0.0000000000                       -30.3644358527                       -30.3678736952                       -30.3686291880                       -30.3644939750                       -30.3679229881                       -30.3686738154
ich-lo-cut=2-no3nf-E        0        0        0.1000000000                       -30.1752748694                       -30.1786926707                       -30.1794424848                       -30.1753306611                       -30.1787400113                       -30.1794853594
ich-lo-cut=2-no3nf-E        0        0        0.2000000000                       -29.6155718129                       -29.6189300125                       -29.6196630578                       -29.6156209702                       -29.6189717940                       -29.6197009391
ich-lo-cut=2-no3nf-E        0        0        0.3000000000                       -28.7084381023                       -28.7116988664                       -28.7124048670                       -28.7084773673                       -28.7117323524                       -28.7124352919
ich-lo-cut=2-no3nf-E        0        0        0.4000000000                       -27.4898480106                       -27.4929765953                       -27.4936466069                       -27.4898757322                       -27.4930003886                       -27.4936683101
ich-lo-cut=2-no3nf-E        0        0        0.5000000000                       -26.0051777039                       -26.0081439699                       -26.0087708285                       -26.0051941014                       -26.0081582342                       -26.0087839436
ich-lo-cut=2-no3nf-E        0        0        0.6000000000                       -24.3055862925                       -24.3083661134                       -24.3089447378                       -24.3055932764                       -24.3083724260                       -24.3089506676
ich-lo-cut=2-no3nf-E        0        0        0.7000000000                       -22.4444162469                       -22.4469924796                       -22.4475199632                       -22.4444168034                       -22.4469933200                       -22.4475209227
ich-lo-cut=2-no3nf-E        0        0        0.8000000000                       -20.4739875194                       -20.4763503345                       -20.4768258204                       -20.4739848585                       -20.4763483769                       -20.4768242042
ich-lo-cut=2-no3nf-E        0        0        0.9000000000                       -18.4430709465                       -18.4452175061                       -18.4456418951                       -18.4430677169                       -18.4452149666                       -18.4456396929
ich-lo-cut=2-no3nf-E        0        0        1.0000000000                       -16.3951886511                       -16.3971222686                       -16.3974978357                       -16.3951864688                       -16.3971205125                       -16.3974962819
ich-lo-cut=3-no3nf-E        0        0        0.0000000000                       -29.4121199949                       -29.4140578300                       -29.4144455839                       -29.4121429784                       -29.4140774209                       -29.4144634217
ich-lo-cut=3-no3nf-E        0        0        0.1000000000                       -29.2267986657                       -29.2287238206                       -29.2291083479                       -29.2268206013                       -29.2287425293                       -29.2291253886
