                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000                         1.4388542741
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000                         1.4489840769
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000                         1.4777822466
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000                         1.5208153221
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000                         1.5715561812
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000                         1.6224721498
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000                         1.6661742022
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000                         1.6963756076
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000                         1.7085895387
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000                         1.7003861352
                  cdb-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000                         1.6712615572
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000                         0.0015753321
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000                         0.0060081880
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000                         0.0124691867
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000                         0.0197370161
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000                         0.0264020664
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000                         0.0310848918
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000                         0.0326304779
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000                         0.0302398919
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                         0.0235353998
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                         0.0125529796
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
