                wave       xi      mxi                   q    q_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48    g_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48
           cdb+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        0        0        0.0000000000                        -8.3870129275                       167.3506955607
  ich-lo-cut=1+empot        0        0        0.1000000000                        -8.3454354004                       166.8032926621
  ich-lo-cut=1+empot        0        0        0.2000000000                        -8.2223881271                       165.1810326382
  ich-lo-cut=1+empot        0        0        0.3000000000                        -8.0227511909                       162.5418677571
  ich-lo-cut=1+empot        0        0        0.4000000000                        -7.7541073911                       158.9764327124
  ich-lo-cut=1+empot        0        0        0.5000000000                        -7.4260287294                       154.6002625887
  ich-lo-cut=1+empot        0        0        0.6000000000                        -7.0492661829                       149.5448347702
  ich-lo-cut=1+empot        0        0        0.7000000000                        -6.6349634920                       143.9487001422
  ich-lo-cut=1+empot        0        0        0.8000000000                        -6.1939858667                       137.9496868903
  ich-lo-cut=1+empot        0        0        0.9000000000                        -5.7364135263                       131.6787559653
  ich-lo-cut=1+empot        0        0        1.0000000000                        -5.2712114711                       125.2556951539
  ich-lo-cut=1+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        2        0        0.0000000000                        -0.0000122148                         0.0000466134
  ich-lo-cut=1+empot        2        0        0.1000000000                         0.1439931448                        -1.3301648117
  ich-lo-cut=1+empot        2        0        0.2000000000                         0.5688827048                        -5.2456164208
  ich-lo-cut=1+empot        2        0        0.3000000000                         1.2540898663                       -11.5289893157
  ich-lo-cut=1+empot        2        0        0.4000000000                         2.1678738615                       -19.8438278105
  ich-lo-cut=1+empot        2        0        0.5000000000                         3.2705784973                       -29.7678045847
  ich-lo-cut=1+empot        2        0        0.6000000000                         4.5182840329                       -40.8303387874
  ich-lo-cut=1+empot        2        0        0.7000000000                         5.8662819373                       -52.5488728702
  ich-lo-cut=1+empot        2        0        0.8000000000                         7.2719568337                       -64.4595584980
  ich-lo-cut=1+empot        2        0        0.9000000000                         8.6968642335                       -76.1400645234
  ich-lo-cut=1+empot        2        0        1.0000000000                        10.1079785760                       -87.2240477420
  ich-lo-cut=1+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        0        0        0.0000000000                        -8.3746037812                       161.7853554430
  ich-lo-cut=2+empot        0        0        0.1000000000                        -8.3326493385                       161.2363321166
  ich-lo-cut=2+empot        0        0        0.2000000000                        -8.2084886819                       159.6094005023
  ich-lo-cut=2+empot        0        0        0.3000000000                        -8.0070522090                       156.9630626467
  ich-lo-cut=2+empot        0        0        0.4000000000                        -7.7360010004                       153.3888087992
  ich-lo-cut=2+empot        0        0        0.5000000000                        -7.4050060461                       149.0032557371
  ich-lo-cut=2+empot        0        0        0.6000000000                        -7.0249297166                       143.9390966563
  ich-lo-cut=2+empot        0        0        0.7000000000                        -6.6070314141                       138.3361408777
  ich-lo-cut=2+empot        0        0        0.8000000000                        -6.1622892374                       132.3334368904
  ich-lo-cut=2+empot        0        0        0.9000000000                        -5.7008881104                       126.0630640313
  ich-lo-cut=2+empot        0        0        1.0000000000                        -5.2318859214                       119.6457820097
  ich-lo-cut=2+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        2        0        0.0000000000                        -0.0000093154                         0.0000343090
  ich-lo-cut=2+empot        2        0        0.1000000000                         0.1453847043                        -1.3387209676
  ich-lo-cut=2+empot        2        0        0.2000000000                         0.5743671285                        -5.2790560796
  ich-lo-cut=2+empot        2        0        0.3000000000                         1.2661600606                       -11.6014909551
  ich-lo-cut=2+empot        2        0        0.4000000000                         2.1886957527                       -19.9662280871
  ich-lo-cut=2+empot        2        0        0.5000000000                         3.3019078823                       -29.9467555433
  ich-lo-cut=2+empot        2        0        0.6000000000                         4.5614202030                       -41.0678499531
  ich-lo-cut=2+empot        2        0        0.7000000000                         5.9220567317                       -52.8422282831
  ich-lo-cut=2+empot        2        0        0.8000000000                         7.3407536143                       -64.8015552159
  ich-lo-cut=2+empot        2        0        0.9000000000                         8.7786590355                       -76.5194944342
  ich-lo-cut=2+empot        2        0        1.0000000000                        10.2023952448                       -87.6263378781
  ich-lo-cut=2+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        0        0        0.0000000000                        -8.1448007040                       149.6647819865
  ich-lo-cut=3+empot        0        0        0.1000000000                        -8.1028735651                       149.1246416154
  ich-lo-cut=3+empot        0        0        0.2000000000                        -7.9788044405                       147.5243927139
  ich-lo-cut=3+empot        0        0        0.3000000000                        -7.7775513331                       144.9226272724
  ich-lo-cut=3+empot        0        0        0.4000000000                        -7.5068174117                       141.4109493739
  ich-lo-cut=3+empot        0        0        0.5000000000                        -7.1763251935                       137.1060676054
  ich-lo-cut=3+empot        0        0        0.6000000000                        -6.7969923551                       132.1406944202
  ich-lo-cut=3+empot        0        0        0.7000000000                        -6.3801320036                       126.6545394775
  ich-lo-cut=3+empot        0        0        0.8000000000                        -5.9367699049                       120.7863970224
  ich-lo-cut=3+empot        0        0        0.9000000000                        -5.4771294736                       114.6679160326
  ich-lo-cut=3+empot        0        0        1.0000000000                        -5.0102961351                       108.4192428228
  ich-lo-cut=3+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        2        0        0.0000000000                        -0.0000059476                         0.0000214996
  ich-lo-cut=3+empot        2        0        0.1000000000                         0.1456914478                        -1.3295134361
  ich-lo-cut=3+empot        2        0        0.2000000000                         0.5755363110                        -5.2418682543
  ich-lo-cut=3+empot        2        0        0.3000000000                         1.2686137458                       -11.5166622801
  ich-lo-cut=3+empot        2        0        0.4000000000                         2.1926465890                       -19.8127751783
  ich-lo-cut=3+empot        2        0        0.5000000000                         3.3073109571                       -29.7021775453
  ich-lo-cut=3+empot        2        0        0.6000000000                         4.5679520179                       -40.7081861607
  ich-lo-cut=3+empot        2        0        0.7000000000                         5.9291198371                       -52.3423507188
  ich-lo-cut=3+empot        2        0        0.8000000000                         7.3475022791                       -64.1356479057
  ich-lo-cut=3+empot        2        0        0.9000000000                         8.7840397099                       -75.6616551513
  ich-lo-cut=3+empot        2        0        1.0000000000                        10.2051953732                       -86.5512361048
  ich-lo-cut=3+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        0        0        0.0000000000                        -7.8055421023                       135.8673047289
  ich-lo-cut=4+empot        0        0        0.1000000000                        -7.7639160274                       135.3417379912
  ich-lo-cut=4+empot        0        0        0.2000000000                        -7.6407538370                       133.7851357091
  ich-lo-cut=4+empot        0        0        0.3000000000                        -7.4410239188                       131.2558613271
  ich-lo-cut=4+empot        0        0        0.4000000000                        -7.1724441383                       127.8451207853
  ich-lo-cut=4+empot        0        0        0.5000000000                        -6.8447527265                       123.6690346774
  ich-lo-cut=4+empot        0        0        0.6000000000                        -6.4688805118                       118.8595184720
  ich-lo-cut=4+empot        0        0        0.7000000000                        -6.0561479666                       113.5552633644
  ich-lo-cut=4+empot        0        0        0.8000000000                        -5.6175800257                       107.8938214891
  ich-lo-cut=4+empot        0        0        0.9000000000                        -5.1633896893                       102.0053855139
  ich-lo-cut=4+empot        0        0        1.0000000000                        -4.7026420158                        96.0084514492
  ich-lo-cut=4+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        2        0        0.0000000000                        -0.0000034507                         0.0000122551
  ich-lo-cut=4+empot        2        0        0.1000000000                         0.1452358302                        -1.3097898982
  ich-lo-cut=4+empot        2        0        0.2000000000                         0.5736784599                        -5.1629376195
  ich-lo-cut=4+empot        2        0        0.3000000000                         1.2643303414                       -11.3390609889
  ich-lo-cut=4+empot        2        0        0.4000000000                         2.1847961977                       -19.4971715855
  ich-lo-cut=4+empot        2        0        0.5000000000                         3.2946127605                       -29.2096345680
  ich-lo-cut=4+empot        2        0        0.6000000000                         4.5489839450                       -40.0005731383
  ich-lo-cut=4+empot        2        0        0.7000000000                         5.9023345700                       -51.3828821910
  ich-lo-cut=4+empot        2        0        0.8000000000                         7.3112572558                       -62.8895060512
  ich-lo-cut=4+empot        2        0        0.9000000000                         8.7366361196                       -74.0966434499
  ich-lo-cut=4+empot        2        0        1.0000000000                        10.1449211279                       -84.6384132514
  ich-lo-cut=4+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=5+empot        0        0        0.0000000000                        -7.4211560726                       122.4475218143
  ich-lo-cut=5+empot        0        0        0.1000000000                        -7.3800071379                       121.9392349009
  ich-lo-cut=5+empot        0        0        0.2000000000                        -7.2582758040                       120.4343260978
  ich-lo-cut=5+empot        0        0        0.3000000000                        -7.0609282411                       117.9907195186
  ich-lo-cut=5+empot        0        0        0.4000000000                        -6.7956770110                       114.6988855490
  ich-lo-cut=5+empot        0        0        0.5000000000                        -6.4722499955                       110.6739115979
  ich-lo-cut=5+empot        0        0        0.6000000000                        -6.1015606324                       106.0463860911
  ich-lo-cut=5+empot        0        0        0.7000000000                        -5.6949033715                       100.9533913437
