                wave       xi      mxi                   q    q_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48    g_L7_XI4_Q1_NQ11_NX25_NPHI35_NP48
           cdb+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
           cdb+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        0        0        0.0000000000                         1.3555256050                      -151.6855062183
  ich-lo-cut=1+empot        0        0        0.1000000000                         1.3906036176                      -151.9650209728
  ich-lo-cut=1+empot        0        0        0.2000000000                         1.4941440710                      -152.7848438644
  ich-lo-cut=1+empot        0        0        0.3000000000                         1.6612489794                      -154.0907516364
  ich-lo-cut=1+empot        0        0        0.4000000000                         1.8843271129                      -155.7984658539
  ich-lo-cut=1+empot        0        0        0.5000000000                         2.1538343018                      -157.8015970415
  ich-lo-cut=1+empot        0        0        0.6000000000                         2.4591123309                      -159.9807474966
  ich-lo-cut=1+empot        0        0        0.7000000000                         2.7892002116                      -162.2124574965
  ich-lo-cut=1+empot        0        0        0.8000000000                         3.1335230216                      -164.3769777888
  ich-lo-cut=1+empot        0        0        0.9000000000                         3.4824065693                      -166.3642766025
  ich-lo-cut=1+empot        0        0        1.0000000000                         3.8274065836                      -168.0781009886
  ich-lo-cut=1+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        2        0        0.0000000000                         0.0000402558                        -0.0001317913
  ich-lo-cut=1+empot        2        0        0.1000000000                         0.1409141828                        -1.2413493950
  ich-lo-cut=1+empot        2        0        0.2000000000                         0.5565142851                        -4.8919616367
  ich-lo-cut=1+empot        2        0        0.3000000000                         1.2265811168                       -10.7409530981
  ich-lo-cut=1+empot        2        0        0.4000000000                         2.1198622502                       -18.4619790377
  ich-lo-cut=1+empot        2        0        0.5000000000                         3.1973388617                       -27.6460860984
  ich-lo-cut=1+empot        2        0        0.6000000000                         4.4158383233                       -37.8386541395
  ich-lo-cut=1+empot        2        0        0.7000000000                         5.7314668778                       -48.5749311130
  ich-lo-cut=1+empot        2        0        0.8000000000                         7.1024507155                       -59.4099743974
  ich-lo-cut=1+empot        2        0        0.9000000000                         8.4911772015                       -69.9407635913
  ich-lo-cut=1+empot        2        0        1.0000000000                         9.8654127962                       -79.8200622102
  ich-lo-cut=1+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=1+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        0        0        0.0000000000                        -0.3532954888                       -74.5740654187
  ich-lo-cut=2+empot        0        0        0.1000000000                        -0.3173907031                       -74.8979569550
  ich-lo-cut=2+empot        0        0        0.2000000000                        -0.2113747204                       -75.8507169796
  ich-lo-cut=2+empot        0        0        0.3000000000                        -0.0401597937                       -77.3775455020
  ich-lo-cut=2+empot        0        0        0.4000000000                         0.1886394086                       -79.3932124366
  ich-lo-cut=2+empot        0        0        0.5000000000                         0.4654466103                       -81.7900157245
  ich-lo-cut=2+empot        0        0        0.6000000000                         0.7795635010                       -84.4469029285
  ich-lo-cut=2+empot        0        0        0.7000000000                         1.1199818256                       -87.2384402143
  ich-lo-cut=2+empot        0        0        0.8000000000                         1.4760731272                       -90.0426106772
  ich-lo-cut=2+empot        0        0        0.9000000000                         1.8381043578                       -92.7468493132
  ich-lo-cut=2+empot        0        0        1.0000000000                         2.1975680159                       -95.2521335854
  ich-lo-cut=2+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        2        0        0.0000000000                         0.0000207507                        -0.0000711422
  ich-lo-cut=2+empot        2        0        0.1000000000                         0.1427437296                        -1.2701522644
  ich-lo-cut=2+empot        2        0        0.2000000000                         0.5638099025                        -5.0063308254
  ich-lo-cut=2+empot        2        0        0.3000000000                         1.2427248314                       -10.9946099698
  ich-lo-cut=2+empot        2        0        0.4000000000                         2.1478703441                       -18.9039633343
  ich-lo-cut=2+empot        2        0        0.5000000000                         3.2397647869                       -28.3194333483
  ich-lo-cut=2+empot        2        0        0.6000000000                         4.4747140120                       -38.7795109281
  ich-lo-cut=2+empot        2        0        0.7000000000                         5.8082815460                       -49.8121086554
  ich-lo-cut=2+empot        2        0        0.8000000000                         7.1981619815                       -60.9648937601
  ich-lo-cut=2+empot        2        0        0.9000000000                         8.6062469458                       -71.8277173916
  ich-lo-cut=2+empot        2        0        1.0000000000                         9.9998595754                       -82.0467073138
  ich-lo-cut=2+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=2+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        0        0        0.0000000000                        -1.5807164915                       -26.0522965778
  ich-lo-cut=3+empot        0        0        0.1000000000                        -1.5443162338                       -26.4045704578
  ich-lo-cut=3+empot        0        0        0.2000000000                        -1.4368151934                       -27.4423946113
  ich-lo-cut=3+empot        0        0        0.3000000000                        -1.2631297157                       -29.1107201784
  ich-lo-cut=3+empot        0        0        0.4000000000                        -1.0308813433                       -31.3239018527
  ich-lo-cut=3+empot        0        0        0.5000000000                        -0.7496560730                       -33.9736556571
  ich-lo-cut=3+empot        0        0        0.6000000000                        -0.4301648465                       -36.9381805952
  ich-lo-cut=3+empot        0        0        0.7000000000                        -0.0834315125                       -40.0911284853
  ich-lo-cut=3+empot        0        0        0.8000000000                         0.2798968937                       -43.3094043084
  ich-lo-cut=3+empot        0        0        0.9000000000                         0.6500657783                       -46.4792046835
  ich-lo-cut=3+empot        0        0        1.0000000000                         1.0185431986                       -49.5001136233
  ich-lo-cut=3+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        2        0        0.0000000000                         0.0000079151                        -0.0000258656
  ich-lo-cut=3+empot        2        0        0.1000000000                         0.1434443609                        -1.2764352581
  ich-lo-cut=3+empot        2        0        0.2000000000                         0.5665947174                        -5.0310275862
  ich-lo-cut=3+empot        2        0        0.3000000000                         1.2488023014                       -11.0481591662
  ich-lo-cut=3+empot        2        0        0.4000000000                         2.1581985736                       -18.9942668073
  ich-lo-cut=3+empot        2        0        0.5000000000                         3.2549892942                       -28.4512361777
  ich-lo-cut=3+empot        2        0        0.6000000000                         4.4951347970                       -38.9540891955
  ich-lo-cut=3+empot        2        0        0.7000000000                         5.8338483756                       -50.0272568573
  ich-lo-cut=3+empot        2        0        0.8000000000                         7.2284934825                       -61.2151687669
  ich-lo-cut=3+empot        2        0        0.9000000000                         8.6406672896                       -72.1048758117
  ich-lo-cut=3+empot        2        0        1.0000000000                        10.0374461630                       -82.3402675145
  ich-lo-cut=3+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=3+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        0        0        0.0000000000                        -2.4461610010                         4.6969485576
  ich-lo-cut=4+empot        0        0        0.1000000000                        -2.4095162946                         4.3276420356
  ich-lo-cut=4+empot        0        0        0.2000000000                        -2.3012805921                         3.2387214978
  ich-lo-cut=4+empot        0        0        0.3000000000                        -2.1263664094                         1.4852429768
  ich-lo-cut=4+empot        0        0        0.4000000000                        -1.8923892875                        -0.8471280455
  ich-lo-cut=4+empot        0        0        0.5000000000                        -1.6089275805                        -3.6500629865
  ich-lo-cut=4+empot        0        0        0.6000000000                        -1.2866836129                        -6.8016774750
  ich-lo-cut=4+empot        0        0        0.7000000000                        -0.9366723853                       -10.1754852911
  ich-lo-cut=4+empot        0        0        0.8000000000                        -0.5695326084                       -13.6481826592
  ich-lo-cut=4+empot        0        0        0.9000000000                        -0.1950117827                       -17.1056717738
  ich-lo-cut=4+empot        0        0        1.0000000000                         0.1783633987                       -20.4471437248
  ich-lo-cut=4+empot        1        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        1        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        2        0        0.0000000000                         0.0000026207                        -0.0000078868
  ich-lo-cut=4+empot        2        0        0.1000000000                         0.1433371243                        -1.2685230977
  ich-lo-cut=4+empot        2        0        0.2000000000                         0.5661451710                        -4.9991999432
  ich-lo-cut=4+empot        2        0        0.3000000000                         1.2476655183                       -10.9757422786
  ich-lo-cut=4+empot        2        0        0.4000000000                         2.1558706230                       -18.8636438503
  ich-lo-cut=4+empot        2        0        0.5000000000                         3.2507723792                       -28.2437410947
  ich-lo-cut=4+empot        2        0        0.6000000000                         4.4881242845                       -38.6501049338
  ich-lo-cut=4+empot        2        0        0.7000000000                         5.8229405306                       -49.6065037880
  ich-lo-cut=4+empot        2        0        0.8000000000                         7.2124101520                       -60.6571437110
  ich-lo-cut=4+empot        2        0        0.9000000000                         8.6179924446                       -71.3893888198
  ich-lo-cut=4+empot        2        0        1.0000000000                        10.0066690238                       -81.4480216158
  ich-lo-cut=4+empot        3        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        3        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.1000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.2000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.3000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.4000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.5000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.6000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.7000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.8000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        0.9000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=4+empot        4        0        1.0000000000                         0.0000000000                         0.0000000000
  ich-lo-cut=5+empot        0        0        0.0000000000                        -3.0454056668                        23.9986066313
  ich-lo-cut=5+empot        0        0        0.1000000000                        -3.0087015352                        23.6201624518
  ich-lo-cut=5+empot        0        0        0.2000000000                        -2.9002842329                        22.5037724289
  ich-lo-cut=5+empot        0        0        0.3000000000                        -2.7250564987                        20.7043273830
  ich-lo-cut=5+empot        0        0        0.4000000000                        -2.4906182164                        18.3072314555
  ich-lo-cut=5+empot        0        0        0.5000000000                        -2.2065270941                        15.4204754091
  ich-lo-cut=5+empot        0        0        0.6000000000                        -1.8834609538                        12.1655542913
  ich-lo-cut=5+empot        0        0        0.7000000000                        -1.5324077094                         8.6685417067
